A,C
1.12866523022,18.82e44
0.928673738472,2.36e44
1.12835548627,4.36e44
1.29158043963,1.88e44
0.993959814838,7.66e44
1.24845742225,1.98e44
1.29594796902,4.91e44
1.22100739278,6.85e44
1.11023864794,1.26e44
1.33194931132,2.14e44
1.1594099498,11.65e44
1.0937785169,2.19e44
1.08782048375,1.58e44
1.26499572001,9.96e44
1.00895043947,44.42e44
1.14121133635,4.89e44
1.16943901465,4.04e44
1.17662985288,2.86e44
1.18910319939,2.73e44
1.1262447864,3.72e44
1.17780592803,6.02e44
1.34242709176,5.87e44
1.06983321607,4.59e44
1.96211749034,12.33e44
0.976220921667,1.16e44
1.59759428007,1.88e44
1.16018306453,3.83e44
1.3213202511,1.20e44
1.09149226702,12.25e44
1.11412580137,5.88e44
1.09574089057,4.20e44
0.938317239344,7.70e44
1.30423757635,2.26e44
1.23957468149,1.64e44
1.07622393342,3.97e44
1.11115597729,3.83e44
1.306288689,
1.00841393741,
1.26681225857,
1.00804719016,
1.10357386,
1.1489178586,
1.20784854575,
1.05906104277,
1.06528808362,
1.13924246185,
0.955395505252,
1.31562783817,
0.874351094626,
0.988731671124,
1.13024094886,
1.2422931797,
0.994617882006,
1.03341029903,
0.919749316974,
1.09934163531,
1.25570749915,
0.998567756096,
1.13093229008,
1.11406249392,
1.09678917217,
1.01699258459,
1.2697492739,
1.16189246042,
1.06221649507,
1.12240840348,
1.19260902178,
1.17729438555,
1.13133355637,
1.08786433149,
1.06003245409,
0.951157588676,
1.14375004984,
1.36569455573,
1.11357478542,
1.19540474932,
1.07226458657,
1.02713490008,
1.10392566291,
